idspecies,ecofunct_group,sourceid
495,Terrestrial plant,17500
563,Terrestrial plant,17500
608,Terrestrial plant,17500
1052,Terrestrial plant,17500
1091,Terrestrial plant,17500
4829,Terrestrial plant,17500
4837,Terrestrial plant,17500
4840,Terrestrial plant,17500
4841,Terrestrial plant,17500
4843,Terrestrial plant,10851
5067,Terrestrial plant,10851
9681,Terrestrial plant,17500
17367,Terrestrial plant,17500
17376,Terrestrial plant,17500
18425,Predator,17500
21451,Terrestrial plant,17500
22412,Terrestrial plant,17500
22424,Terrestrial plant,17500
50001,Predator,17500
50002,Predator,17500
50003,Predaceous fish,17500
50004,Omnivorous,17500
50006,Predator,17500
50007,Predator,17500
50008,Predator,17500
50009,Benthophagous fish,17500
50010,Predator,17500
50011,Omnivorous,17500
50012,Omnivorous,17500
50013,Predator,17500
50014,Omnivorous,17500
50015,Benthophagous fish,17500
50016,Predator,17500
50017,Predator,17500
50018,Predator,17500
50019,Predator,17500
50020,Predator,17500
50021,Predator,17500
50022,Predator,17500
50023,Predator,17500
50024,Omnivorous,17500
50025,Predator,17500
50026,Predator,17500
50027,Predator,17500
50028,Predator,17500
50029,Predator,17500
50030,Predator,17500
50031,Predator,17500
50032,Predator,17500
50033,Predator,17500
50034,Predator,17500
50035,Predator,17500
50036,Predator,17500
50037,Predator,17500
50038,Predator,17500
50039,Predator,17500
50040,Predator,17500
50041,Predator,17500
50042,Phytophagous,17500
50043,Predator,17500
50044,Omnivorous,17500
50045,Predator,17500
50046,Predator,17500
50047,Predator,17500
50048,Predator,17500
50049,Predator,17500
50050,Predator,17500
50051,Predator,17500
50052,Predator,17500
50053,Predator,17500
50054,Predator,17500
50055,Predator,17500
50056,Omnivorous,17500
50057,Predator,17500
50058,Predator,17500
50059,Predator,17500
50060,Predator,17500
50061,Predator,17500
50062,Predator,17500
50063,Predator,17500
50064,Predator,17500
50065,Predator,17500
50066,Predator,17500
50067,Predator,17500
50068,Predator,17500
50069,Predator,17500
50070,Predator,17500
50071,Omnivorous,17500
50072,Predator,17500
50073,Omnivorous,17500
50074,Omnivorous,17500
50075,Predator,17500
50076,Omnivorous,17500
50077,Predator,17500
50078,Predator,17500
50079,Predator,17500
50080,Predator,17500
50081,Predator,17500
50082,Predator,17500
50083,Predator,17500
50084,Predator,17500
50085,Omnivorous,17500
50086,Predator,17500
50087,Omnivorous,17500
50088,Predator,17500
50089,Predator,17500
50090,Predator,17500
50091,Predator,17500
50092,Omnivorous,17500
50093,Predator,17500
50094,Predator,17500
50095,Predator,17500
50096,Predator,17500
50097,Predator,17500
50098,Predator,17500
50099,Predator,17500
50100,Predator,17500
50101,Predator,17500
50102,Predator,17500
50103,Predator,17500
50104,Predator,17500
50105,Predator,17500
50106,Predator,17500
50107,Predator,17500
50108,Predator,17500
50109,Predator,17500
50110,Predaceous fish,17500
50111,Parasite,17500
50112,Parasite,17500
50114,Parasite,17500
50115,Phytoplankton,17500
50116,Predaceous fish,17500
50117,Predaceous fish,17500
50118,Parasite,10853
50119,Macroalgae,17500
50120,Macroalgae,17500
50121,Macroalgae,17500
50122,Parasite,17500
50124,Macroalgae,17500
50127,Zoobenthos,17500
50128,Zoobenthos,17500
50132,Parasite,17500
50134,Zoobenthos,17500
50135,Zoobenthos,17500
50137,Parasite,17500
50138,Zoobenthos,17500
50139,Zoobenthos,17500
50143,Zoobenthos,17500
50144,Zoobenthos,17500
50145,Zoobenthos,17500
50146,Macroalgae,17500
50147,Macroalgae,17500
50148,Macroalgae,17500
50150,Zoobenthos,10851
50151,Zoobenthos,17500
50152,Zoobenthos,17500
50156,Zoobenthos,17500
50157,Zoobenthos,17500
50159,Zoobenthos,10851
50161,Macroalgae,17500
50162,Benthophagous fish,17500
50163,Parasite,17500
50164,Zooplankton,17500
50165,Zoobenthos,17500
50166,Zoobenthos,17500
50167,Parasite,17500
50168,Parasite,17500
50169,Zoobenthos,17500
50170,Zoobenthos,17500
50172,Zoobenthos,17500
50176,Zoobenthos,10851
50180,Zoobenthos,17500
50181,Zoobenthos,17500
50182,Zoobenthos,17500
50183,Predaceous fish,17500
50184,Macroalgae,17500
50188,Parasite,17500
50189,Zoobenthos,17500
50190,Phytoplankton,17500
50191,Macroalgae,17500
50193,Zoobenthos,17500
50195,Predaceous fish,17500
50198,Predaceous fish,17500
50199,Macroalgae,17500
50200,Phytoplankton,17500
50201,Zoobenthos,17500
50204,Phytoplankton,10851
50205,Parasite,17500
50211,Zoobenthos,17500
50215,Zoobenthos,10851
50217,Zoobenthos,17500
50218,Zoobenthos,17500
50222,Benthophagous fish,17500
50223,Zoobenthos,10851
50224,Parasite,17500
50226,Parasite,17500
50227,Parasite,17500
50228,Macroalgae,17500
50231,Phytoplankton,10851
50232,Zooplankton,17500
50233,Zooplankton,17500
50236,Parasite,17500
50237,Zoobenthos,17500
50238,Zoobenthos,17500
50239,Zoobenthos,17500
50240,Zoobenthos,17500
50241,Predaceous fish,17500
50242,Zoobenthos,17500
50245,Zoobenthos,17500
50246,Zoobenthos,17500
50247,Zoobenthos,17500
50248,Zoobenthos,17500
50249,Zoobenthos,17500
50250,Macroalgae,17500
50251,Parasite,17500
50253,Zoobenthos,17500
50256,Zoobenthos,17500
50257,Zoobenthos,17500
50258,Parasite,17500
50259,Parasite,17500
50260,Predaceous fish,17500
50263,Macroalgae,17500
50266,Phytoplankton,17500
50271,Zoobenthos,17500
50272,Parasite,17500
50275,Zoobenthos,17500
50276,Zoobenthos,17500
50279,Predaceous fish,17500
50280,Predator,17500
50283,Macroalgae,17500
50287,Zoobenthos,17500
50289,Zoobenthos,17500
50290,Zoobenthos,17500
50291,Zoobenthos,17500
50292,Zoobenthos,17500
50293,Other,17500
50294,Predaceous fish,17500
50295,Predaceous fish,17500
50296,Herbivorous fish,17500
50297,Benthophagous fish,17500
50298,Other,17500
50299,Benthophagous fish,17500
50300,Predaceous fish,17500
50301,Benthophagous fish,17500
50302,Benthophagous fish,17500
50303,Benthophagous fish,17500
50304,Benthophagous fish,17500
50305,Predaceous fish,17500
50307,Benthophagous fish,17500
50308,Zoobenthos,17500
50310,Omnivorous,17500
50312,Omnivorous,17500
50314,Phytophagous,17500
50315,Phytophagous,17500
50316,Phytophagous,17500
50317,Omnivorous,17500
50318,Omnivorous,17500
50319,Omnivorous,17500
50320,Omnivorous,17500
50321,Omnivorous,17500
50322,Omnivorous,17500
50323,Omnivorous,17500
50324,Omnivorous,17500
50325,Phytophagous,17500
50326,Phytophagous,17500
50332,Phytophagous,17500
50333,Omnivorous,17500
50334,Omnivorous,17500
50335,Omnivorous,17500
50336,Omnivorous,17500
50337,Omnivorous,17500
50338,Omnivorous,17500
50339,Phytophagous,17500
50340,Phytophagous,17500
50341,Phytophagous,17500
50342,Phytophagous,17500
50343,Phytophagous,17500
50345,Phytophagous,17500
50346,Phytophagous,17500
50347,Phytophagous,17500
50348,Predator,17500
50349,Phytophagous,17500
50351,Phytophagous,17500
50352,Predator,17500
50353,Omnivorous,17500
50354,Omnivorous,17500
50355,Omnivorous,17500
50356,Phytophagous,17500
50357,Phytophagous,17500
50358,Phytophagous,17500
50361,Predator,17500
50362,Omnivorous,17500
50363,Omnivorous,17500
50364,Omnivorous,17500
50365,Phytophagous,17500
50366,Omnivorous,17500
50368,Omnivorous,17500
50369,Omnivorous,17500
50370,Omnivorous,17500
50371,Phytophagous,17500
50372,Omnivorous,17500
50373,Omnivorous,17500
50374,Omnivorous,17500
50376,Omnivorous,17500
50377,Omnivorous,17500
50378,Omnivorous,17500
50379,Omnivorous,17500
50380,Omnivorous,17500
50382,Phytophagous,17500
50383,Phytophagous,17500
50384,Phytophagous,17500
50388,Predator,17500
50390,Omnivorous,17500
50391,Omnivorous,17500
50392,Omnivorous,17500
50393,Omnivorous,17500
50394,Omnivorous,17500
50395,Omnivorous,17500
50396,Omnivorous,17500
50397,Omnivorous,17500
50398,Omnivorous,17500
50399,Omnivorous,17500
50400,Omnivorous,17500
50401,Omnivorous,17500
50403,Phytophagous,17500
50404,Omnivorous,17500
50406,Omnivorous,17500
50407,Omnivorous,17500
50408,Omnivorous,17500
50410,Omnivorous,17500
50412,Omnivorous,17500
50414,Omnivorous,17500
50415,Omnivorous,17500
50416,Phytophagous,17500
50417,Phytophagous,17500
50418,Phytophagous,17500
50419,Phytophagous,17500
50420,Omnivorous,17500
50421,Omnivorous,17500
50423,Omnivorous,17500
50424,Phytophagous,17500
50425,Omnivorous,17500
50426,Phytophagous,17500
50428,Phytophagous,17500
50429,Omnivorous,17500
50430,Predator,17500
50431,Phytophagous,17500
50432,Omnivorous,17500
50433,Omnivorous,17500
50438,Omnivorous,17500
50439,Omnivorous,17500
50440,Predator,17500
50441,Predator,17500
50442,Omnivorous,17500
50443,Omnivorous,17500
50444,Omnivorous,17500
50445,Predator,17500
50446,Omnivorous,17500
50447,Omnivorous,17500
50448,Predator,17500
50449,Predator,17500
50450,Omnivorous,17500
50453,Omnivorous,17500
50454,Omnivorous,17500
50455,Omnivorous,17500
50456,Omnivorous,17500
50457,Omnivorous,17500
50459,Phytophagous,17500
50460,Phytophagous,17500
50461,Omnivorous,17500
50462,Omnivorous,17500
50463,Omnivorous,17500
50464,Phytophagous,17500
50465,Phytophagous,17500
50466,Omnivorous,17500
50467,Omnivorous,17500
50468,Omnivorous,17500
