sourceid,shortref,longref,url,id_sp_region,idspecies,field_name,notes,last_updated,source
1,Anon. ,Anon. (????) Flora of the World,,,,,,,Anon. (????) Flora of the World
2,Anon. ,Anon. (????) Genera Palmarum,,,,,,,Anon. (????) Genera Palmarum
3,Anon. ,"Anon. (????) INDEX Kewensis, vol 2",,,,,,,"Anon. (????) INDEX Kewensis, vol 2"
4,"Tutin TG, Heywood et al 1964-1980","Tutin TG, Heywood et al (eds) (1964-1980) Flora Europaea. Cambridge University Press, Cambridge",,7639,6908,current_distribution,plant refererences,2006-03-29,"Tutin TG, Heywood et al (eds) (1964-1980) Flora Europaea. Cambridge University Press, Cambridge"
5,Davis PH et al 1965,"Davis PH et al (eds) (1965) Flora of Turkey and the East Aegean Islands, vol 1. University Press, Edinburgh",,,,,,,"Davis PH et al (eds) (1965) Flora of Turkey and the East Aegean Islands, vol 1. University Press, Edinburgh"
6,Davis PH et al 1967,"Davis PH et al (eds) (1967) Flora of Turkey and the East Aegean Islands, vol 2. University Press, Edinburgh",,,,,,,"Davis PH et al (eds) (1967) Flora of Turkey and the East Aegean Islands, vol 2. University Press, Edinburgh"
7,Tutin TG et al 1968,"Tutin TG et al (eds) (1968) Flora Europaea, vol 2. Cambridge University Press, Cambridge, UK",,12892,12823,current_distribution,plant refererences,2006-11-06,"Tutin TG et al (eds) (1968) Flora Europaea, vol 2. Cambridge University Press, Cambridge, UK"
8,Davis PH et al 1970,"Davis PH et al (eds) (1970) Flora of Turkey and the East Aegean Islands, vol 3. University Press, Edinburgh",,,,,,,"Davis PH et al (eds) (1970) Flora of Turkey and the East Aegean Islands, vol 3. University Press, Edinburgh"
9,Tutin TG et al 1972,"Tutin TG et al (eds) (1972) Flora Europaea, vol 3. Cambridge University Press, Cambridge, UK",,13165,20484,current_distribution,plant refererences,2006-11-06,"Tutin TG et al (eds) (1972) Flora Europaea, vol 3. Cambridge University Press, Cambridge, UK"
10,Davis PH et al 1972,"Davis PH et al (eds) (1972) Flora of Turkey and the East Aegean Islands, vol 4. University Press, Edinburgh",,13477,9532,current_distribution,plant refererences,2006-11-06,"Davis PH et al (eds) (1972) Flora of Turkey and the East Aegean Islands, vol 4. University Press, Edinburgh"
11,"Guinochet M, de Vilmorin R 1973","Guinochet M, de Vilmorin R (eds) (1973) Flore de France. CNRS, Paris",,7626,18222,current_distribution,plant refererences,2006-03-29,"Guinochet M, de Vilmorin R (eds) (1973) Flore de France. CNRS, Paris"
12,Davis PH et al 1975,"Davis PH et al (eds) (1975) Flora of Turkey and the East Aegean Islands, vol 5. University Press, Edinburgh",,,,,,,"Davis PH et al (eds) (1975) Flora of Turkey and the East Aegean Islands, vol 5. University Press, Edinburgh"
13,"Jalas J, Suominen J 1976","Jalas J, Suominen J (eds) (1976) Atlas Florae Europaeae, vol 3. Committee for Mapping the Flora of Europe and Societas Biologica Fennica Vanamo, Helsinki, Finland",,,,,,,"Jalas J, Suominen J (eds) (1976) Atlas Florae Europaeae, vol 3. Committee for Mapping the Flora of Europe and Societas Biologica Fennica Vanamo, Helsinki, Finland"
14,Tutin TG et al 1976,"Tutin TG et al (eds) (1976) Flora Europaea, vol 4. Cambridge University Press, Cambridge, UK",,13057,22169,current_distribution,plant refererences,2006-11-06,"Tutin TG et al (eds) (1976) Flora Europaea, vol 4. Cambridge University Press, Cambridge, UK"
15,Meikle RD 1977,"Meikle RD (1977) Flora of Cyprus, vol 1. The Bentham-Moxon Trust, Royal Botanic Gardens, Kew",,7173,15017,current_distribution,plant refererences,2006-11-06,"Meikle RD (1977) Flora of Cyprus, vol 1. The Bentham-Moxon Trust, Royal Botanic Gardens, Kew"
16,Davis PH et al 1978,"Davis PH et al (eds) (1978) Flora of Turkey and the East Aegean Islands, vol 6. University Press, Edinburgh",,13343,17692,current_distribution,plant refererences,2006-11-06,"Davis PH et al (eds) (1978) Flora of Turkey and the East Aegean Islands, vol 6. University Press, Edinburgh"
17,"Jalas J, Suominen J 1979","Jalas J, Suominen J (eds) (1979) Atlas Florae Europaeae, vol 4. Committee for Mapping the Flora of Europe and Societas Biologica Fennica Vanamo, Helsinki, Finland",,,,,,,"Jalas J, Suominen J (eds) (1979) Atlas Florae Europaeae, vol 4. Committee for Mapping the Flora of Europe and Societas Biologica Fennica Vanamo, Helsinki, Finland"
18,"Jalas J, Suominen J 1980","Jalas J, Suominen J (eds) (1980) Atlas Florae Europaeae, vol 5. Committee for Mapping the Flora of Europe and Societas Biologica Fennica Vanamo, Helsinki, Finland",,12955,7046,current_distribution,plant refererences,2006-11-06,"Jalas J, Suominen J (eds) (1980) Atlas Florae Europaeae, vol 5. Committee for Mapping the Flora of Europe and Societas Biologica Fennica Vanamo, Helsinki, Finland"
19,Tutin TG et al 1980,"Tutin TG et al (eds) (1980) Flora Europaea, vol 5. Cambridge University Press, Cambridge, UK",,13060,3425,current_distribution,plant refererences,2006-11-06,"Tutin TG et al (eds) (1980) Flora Europaea, vol 5. Cambridge University Press, Cambridge, UK"
20,Greuter W 1980,"Greuter W (1980) Med - Checklist Notulae, 2. Willdenowia 10:227-232",,13565,20161,current_distribution,plant refererences,2006-11-06,"Greuter W (1980) Med - Checklist Notulae, 2. Willdenowia 10:227-232"
21,Davis PH et al 1982,"Davis PH et al (eds) (1982) Flora of Turkey and the East Aegean Islands, vol 7. University Press, Edinburgh",,12894,18248,current_distribution,plant refererences,2006-11-06,"Davis PH et al (eds) (1982) Flora of Turkey and the East Aegean Islands, vol 7. University Press, Edinburgh"
22,"Greuter W, Raus Th 1982","Greuter W, Raus Th (1982) Med - Checklist Notulae, 5. Willdenowia 12:33-46",,,,,,,"Greuter W, Raus Th (1982) Med - Checklist Notulae, 5. Willdenowia 12:33-46"
23,"Greuter W, Raus Th 1982","Greuter W, Raus Th (1982) Med - Checklist Notulae, 6. Willdenowia 12:183-199",,,,,,,"Greuter W, Raus Th (1982) Med - Checklist Notulae, 6. Willdenowia 12:183-199"
24,"Greuter W, Raus Th 1983","Greuter W, Raus Th (1983) Med - Checklist Notulae, 8. Willdenowia 13:277-288",,,,,,,"Greuter W, Raus Th (1983) Med - Checklist Notulae, 8. Willdenowia 13:277-288"
25,Davis PH et al 1984,"Davis PH et al (eds) (1984) Flora of Turkey and the East Aegean Islands, vol 8. University Press, Edinburgh",,13652,2485,current_distribution,plant refererences,2006-11-06,"Davis PH et al (eds) (1984) Flora of Turkey and the East Aegean Islands, vol 8. University Press, Edinburgh"
