id_sp_region,idspecies,sourceid,region
"18787","491",,"Eastern Asia"
"18788","173",,"Africa"
"18789","235",,"Europe"
"18790","67",,"Africa"
"18791","352",,"Europe"
"18791","352",,"Northern Africa"
"18792","340",,"Northern America"
"18793","348",,"Northern America"
"18794","342",,"Central America"
"18795","316",,"Northern America"
"18796","368",,"Eastern Asia"
"18797","315",,"Northern America"
"18798","461",,"Arabian Peninsula"
"18799","436",,"Northern Africa"
"18800","446",,"Eastern Asia"
"18801","748",,"Europe"
"18802","733",,"Europe"
"18803","761",,"Eastern Asia"
"18804","775",,"Europe"
"18805","802",,"Northern America"
"18806","794",,"Europe"
"18807","825",,"Macaronesia"
"18809","893",,"Northern America"
"18810","899",,"Northern America"
"18811","908",,"Northern America"
"18812","931",,"Eastern Asia"
"18813","943",,"Northern America"
"18814","280",,"Northern America"
"18818","2303",,"Northern America"
"18820","2307",,"Northern America"
"18821","632",,"Northern America"
"18823","2376",,"Europe"
"18825","2426",,"Europe"
"18826","608",,"Eastern Asia"
"18829","667",,"Southern Africa"
"18830","681",,"Arabian Peninsula"
"18831","2699",,"Macaronesia"
"18832","2695",,"Northern America"
"18833","2709",,"Northern America"
"18834","2717",,"Northern America"
"18836","2702",,"Eastern Asia"
"18838","5478",,"Eastern Asia"
"18842","5456",,"Africa"
"18849","5292",,"Northern America"
"18851","5296",,"Southern America"
"18857","5371",,"Northern Africa"
"18858","5372",,"Northern America"
"18859","1031",,"Northern America"
"18862","1589",,"Southern Africa"
"18863","1662",,"Southern Africa"
"18865","1698",,"Arabian Peninsula"
"18867","1743",,"Southern Africa"
"18868","1841",,"Northern America"
"18869","1862",,"Southern America"
"18872","5099",,"Northern America"
"18874","1002",,"Southern America"
"18877","1335",,"Eastern Asia"
"18878","1345",,"Southern America"
"18879","1382",,"Europe"
"18882","2554",,"Southern Africa"
"18883","2558",,"Southern Africa"
"18884","2564",,"Southern Africa"
"18885","2575",,"Southern Africa"
"18886","2581",,"Southern Africa"
"18887","2587",,"Southern Africa"
"18888","2589",,"Africa"
"18889","2526",,"Southern Africa"
"18890","2550",,"Southern Africa"
"18892","2183",,"Eastern Asia"
"18893","2192",,"Europe"
"18898","1248",,"Arabian Peninsula"
"18901","1014",,"Australasia"
"18902","2289",,"Eastern Asia"
"18903","2843",,"Eastern Asia"
"18905","4545",,"Arabian Peninsula"
"18910","3044",,"Southern America"
"18911","3194",,"Northern Africa"
"18919","3393",,"Eastern Asia"
"18920","3026",,"Eastern Asia"
"18921","3470",,"Eastern Asia"
"18922","3461",,"Southern Africa"
"18923","3504",,"Southern Africa"
"18930","3591",,"Europe"
"18934","3626",,"Northern America"
"18940","3996",,"Africa"
"18941","4009",,"Africa"
"18942","4065",,"Africa"
"18943","4073",,"Northern Africa"
"18943","4073",,"Macaronesia"
"18944","4076",,"Eastern Asia"
"18946","4156",,"Arabian Peninsula"
"18947","4169",,"Eastern Asia"
"18948","4227",,"Northern America"
"18950","4240",,"Africa"
"18952","4279",,"Northern America"
"18953","4318",,"Southern America"
"18957","4367",,"Southern America"
"18962","4421",,"Arabian Peninsula"
"18966","4595",,"Southern Africa"
"18967","4623",,"Europe"
"18970","4676",,"Arabian Peninsula"
"18971","4659",,"Arabian Peninsula"
"18974","4778",,"Eastern Asia"
"18977","4837",,"Eastern Asia"
"18979","4865",,"Arabian Peninsula"
"18982","4926",,"Southern America"
"18983","4217",,"Arabian Peninsula"
"18984","4989",,"Arabian Peninsula"
"18985","4983",,"Arabian Peninsula"
"18986","4986",,"Arabian Peninsula"
"18987","4995",,"Arabian Peninsula"
"18988","4991",,"Arabian Peninsula"
"18989","4993",,"Arabian Peninsula"
"18990","4970",,"Northern America"
"18991","5064",,"Southern America"
"19000","17349",,"Eastern Asia"
"19002","7165",,"Southern Africa"
"19004","7187",,"Southern America"
"19006","7211",,"Southern Africa"
"19007","7219",,"Southern Africa"
"19008","7227",,"Southern Africa"
"19009","7231",,"Europe"
"19010","7232",,"Southern Africa"
"19011","7242",,"Southern Africa"
"19012","7255",,"Southern Africa"
"19013","7262",,"Southern Africa"
"19014","7904",,"Australasia"
"19017","6603",,"Southern America"
"19018","6619",,"Southern America"
"19022","6804",,"Southern America"
"19024","6867",,"Southern America"
"19026","6937",,"Northern America"
"19028","7025",,"Northern America"
"19036","16934",,"Southern America"
"19042","20892",,"Arabian Peninsula"
"19046","21036",,"Arabian Peninsula"
"19047","21041",,"Arabian Peninsula"
"19049","21154",,"Southern America"
"19053","21252",,"Europe"
