idspecies,regionid,region,sourceid,notes,last_updated
"5","7","Northern America","7652","",
"6","M00",,"7652","",
"7","3","Asia-Temperate","7652","",
"7","4","Asia-Tropical","7652","",
"8","34","Western Asia","7619","3.5; 35",
"8","35","Arabian Peninsula","7619","3.6; 36",
"9","IRN","Iran","7652","",
"9","TUR","Turkey (in Europe)","7652","",
"10","12","Southwestern Europe","7619","1.3; 13",
"10","34","Western Asia","7619","3.5; 35",
"11","M3","Mediterranean Region","7652","",
"15","IRN","Iran","7652","",
"15","TUR","Turkey (in Europe)","7652","",
"16","IRN","Iran","7652","",
"16","TUR","Turkey (in Europe)","7652","",
"18","3","Asia-Temperate","7652","",
"18","4","Asia-Tropical","7652","",
"19","12","Southwestern Europe","7619","1.3; 13",
"19","34","Western Asia","7619","3.5; 35",
"34","7","Northern America","7652","",
"36","7","Northern America","7652","",
"42","7","Northern America","7619","7; 7",
"43","7","Northern America","7619","7; 7",
"54644","7","Northern America","7619","7; 7",
"46","12","Southwestern Europe","7619","1.3; 13",
"48","7","Northern America","7619","7; 7",
"51","12","Southwestern Europe","7619","1.3; 13",
"51","34","Western Asia","7619","3.5; 35",
"53","12","Southwestern Europe","7619","1.3; 13",
"54","12","Southwestern Europe","7619","1.3; 13",
"65","12","Southwestern Europe","7619","1.3; 13",
"67","M3","Mediterranean Region","7652","",
"77","34","Western Asia","7619","3.5; 35",
"78","7","Northern America","7652","",
"81","38","Eastern Asia","7619","3.9; 39",
"83","3","Asia-Temperate","7619","3; 3",
"83","4","Asia-Tropical","7619","4; 4",
"85","3","Asia-Temperate","7652","",
"85","4","Asia-Tropical","7652","",
"86","3","Asia-Temperate","7652","",
"86","4","Asia-Tropical","7652","",
"87","3","Asia-Temperate","7619","3; 3",
"87","4","Asia-Tropical","7619","4; 4",
"88","34","Western Asia","7619","3.5; 35",
"88","35","Arabian Peninsula","7619","3.6; 36",
"90","12","Southwestern Europe","7619","1.3; 13",
"90","13","Southeastern Europe","7619","1.4; 14",
"91","7","Northern America","7619","7; 7",
"94","7","Northern America","7619","7; 7",
"95","7","Northern America","7619","7; 7",
"97","3","Asia-Temperate","7652","",
"97","4","Asia-Tropical","7652","",
"105","12","Southwestern Europe","7619","1.3; 13",
"107","10","Northern Europe","7619","1.1; 11",
"107","11","Middle Europe","7619","1.2; 12",
"108","12","Southwestern Europe","7619","1.3; 13",
