idspecies,genus,species,authority,subtaxon,subtaxon_rank,subtaxon_authority,is_accepted,sourceid
"5","Telaranea","murphyae","Paton","","","","1","6"
"6","Telaranea","tetradactyla","(Hook. f. & Taylor) Hodgs.","","","","1","6"
"7","Lophocolea","bispinosa","(Hook. f. & Taylor) Gottsche, Lindenb. & Nees","","","","1","65"
"8","Lophocolea","semiteres","(Lehm.) Mitt.","","","","1","65"
"9","Sphaerocarpos","michelii","Bellardi","","","","1","26"
"10","Sphaerocarpos","texanus","Austin","","","","1","26"
"11","Riccia","cavernosa","","","","","0","26"
"11","Riccia","crystallina","L.","","","","1","26"
"15","Riccia","rhenana","Lorb. ex Müll. Frib.","","","","1","26"
"16","Riccia","natans","L.","","","","0","59"
"16","Ricciocarpos","natans","(L.) Corda","","","","1","59"
"18","Atrichum","crispum","(James) Sull. & Lesq.","","","","1","26"
"19","Pogonatum","capillare","(Michx.) Brid.","","","","0","59"
"19","Pogonatum","dentatum","(Menzies ex Brid.) Brid.","","","","1","59"
"19","Pogonatum","intertextum","Brid.","","","","0","59"
"19","Pogonatum","longidens","Ångström","","","","0","59"
"19","Pogonatum","loricalyx","(Müll.Hal.) Paris","","","","0","59"
"19","Pogonatum","micro-capillare","(Müll.Hal.) Paris","","","","0","59"
"19","Pogonatum","rubellum","Horik. & M. Saito","","","","0","59"
"19","Pogonatum","wahlenbergii","(Kindb.) G.Roth","","","","0","59"
"19","Pogonatum","yuccaefolium","P.Beauv.","","","","0","59"
"19","Polythichum","dentatum","Menzies ex Brid.","","","","0","59"
"19","Polytrichum","capillare","Michx.","","","","0","59"
"19","Polytrichum","loricalyx","Müll.Hal.","","","","0","59"
"19","Polytrichum","microcapillare","Müll.Hal.","","","","0","59"
"19","Polytrichum","wahlenbergii","Kindb.","","","","0","59"
"34","Polytrichum","hyperboreum","R.Br.","","","","1","59"
"34","Polytrichum","piliferum","Hedw.","hyperboreum","var.","(R.Br.) Müll.Hal.","0","59"
"36","Apalodium","lineare","(Schwägr.) Mitt. [nom. illeg.]","","","","0","59"
"36","Orthodontium","germanicum","F. Koppe","","","","0","59"
"36","Orthodontium","gracile","(Wilson) Schwägr. ex B.S.G.","heterocarpum","var.","Walt. Watson","0","59"
"36","Orthodontium","lineare","Schwägr.","","","","1","59"
"42","Acrophyllum","dentatum","(Hook. f. & W.) Vitt & Crosby","","","","1","61"
"43","Calyptrochaeta","apiculata","Hook. f. & Wilson","","","","1","6"
"46","Hennediella","macrophylla","(R. Br. ter.) Par.","","","","1","64"
"46","Tortula","brevis","Whitehouse & Newton","","","","0","64"
"48","Hennediella","stanfordensis","(Steere) Blockeel","","","","1","64"
"48","Hyophila","stanfordensis","(Steere) Smith & Whitehouse","","","","0","64"
"48","Tortula","stanfordensis","Steere","","","","0","64"
"51","Syntrichia","amplexa","(Lesq.) R.H. Zander","","","","1","65"
"51","Tortula","amplexa","(Lesq.) Steer","","","","0","65"
"53","Tortula","freibergii","Dixon & Loeske","","","","1","65"
"54","Campylopus","introflexus","(Hedw.) Brid.","","","","1","6"
"65","Lycopodium","apodum","L.","","","","0","58"
"65","Selaginella","apoda","(L.) Spring","","","","1","58"
"67","Didiclis","kraussiana","(Kunze) Rothm.","","","","0","58"
"67","Lycopodium","kraussianum","Kunze","","","","0","58"
"67","Selaginella","azorica","Baker","","","","0","58"
"67","Selaginella","kraussiana","(G. Kunze) A. Braun","","","","1","58"
"77","Botrychium","simplex","Hitchc.","","","","1","26"
"78","Osmunda","longifolia","(C. Presl) A.E. Bobrov","","","","0","26"
"78","Osmunda","plumieri","Tausch","","","","0","26"
"78","Osmunda","regalis","L.","","","","1","26"
"81","Dicksonia","antarctica","Labill.","","","","1","58"
"83","Dennstaedtia","punctilobula","(Michx.) Moore","","","","1","58"
"85","Microlepia","platyphylla","(D. Don) J.E. Sm.","","","","1","26"
"86","Nephrolepis","cordifolia","(L.) C. Presl","","","","1","5"
"87","Nephrolepis","exaltata","(L.) Schott","","","","1","58"
"88","Alsophila","cooperi","F.Müll.","","","","0","5"
"88","Sphaeropteris","cooperi","(F.Müll.) R.M. Tryon","","","","1","5"
"90","Blechnum","capense","(L.) Schlecht.","","","","1","58"
"91","Blechnum","chilense","(Kaulf.) Mett.","","","","0","58"
"91","Blechnum","cordatum","(Desv.) Hieron","","","","1","58"
