idspecies,CN_name,CN_language,CN_sourceid
"5","Murphy's Threadwort","English",
"6","Long's Threadwort","English",
"7","Great Crestwort","English",
"8","Southern Crestwort","English",
"9","Micheli's Balloonwort","English",
"10","Texas Balloonwort","English",
"11","Blue Crystalwort","English",
"15","Pond Crystalwort","English",
"18","Fountain Smoothcap","English",
"36","Cape Thread-moss","English",
"42","Toothed Clear-leaf Moss","English",
"43","Southern Hookeria","English",
"44","Vectis-moss","English",
"46","Short Pottia","English",
"48","Stanford Screw-moss","English",
"51","Clay Screw-moss","English",
"53","Freiberg's Screw-moss","English",
"54","Heath Star Moss","English",
"65","Wiesen-Moosfarn","German",
"67","Krauss's Clubmoss","English",
"67","selaginela","Portuguese",
"67","Sélaginelle des jardiniers","French",
"78","kuningosmunda","Estonian",
"81","Australian Tree-fern","English",
"81","feto-arbóreo-da-austrália","Portuguese",
"81","feto-arbóreo-da-tasmânia","Portuguese",
"87","feto-espada","Portuguese",
"91","Chilean Hard-fern","English",
"108","Französischer Streifenfarn","German",
"119","keel-raunjalg","Estonian",
"130","vénuszhajpáfrány","Hungarian",
"139","avenca","Spanish",
"141","avenca-de-folha-miúda","Portuguese",
"141","avenca-de-folha-miúda","Spanish",
"143","Wasserhornfarn","German",
"148","Kangaroo Fern","English",
"157","Fougère allemande","French",
"157","Ostrich Fern","English",
"157","pérovník pštrosí","Czech",
"157","Struisvaren","Dutch",
"170","harilik pärljalg","Estonian",
"170","Onoclée","French",
"170","Sensitive Fern","English",
"173","Aspidie en faux","French",
"173","Fougère-houx","French",
"173","House Holly-fern","English",
"173","Sichel-Schildfarn","German",
"188","Cyrtomium de Fortune","French",
"188","Cyrtomium di Fortune","Italian",
"188","Cyrtomium en faux","French",
"193","Geröll-Wurmfarn","German",
"227","Western Sword-fern","English",
"235","Ribbon Fern","English",
"239","Vielspaltiger Saumfarn","German",
"244","csíkos szalagpáfrány","Hungarian",
"244","Fougère à feuilles longues","French",
"255","Branched Horsetail","English",
"277","Abricotier d'argent","French",
"277","Arbre aux quarante écus","French",
"277","Ginkgo","French",
"277","páfrányfenyő","Hungarian",
"278","Séquoia de Chine","French",
"280","Séquoia géant","French",
"280","Wellingtonia","English",
"292","Cyprès chauve","French",
"292","Cyprès de Louisiane","French",
"295","Araucaria du Chili","French",
"295","Désespoir des singes","French",
"295","Monkey-puzzle","English",
"305","Awrikarja kbira","Maltese",
"307","Cyprès de Leyland","French",
"316","Almindelig Bjørneklo","Danish",
"316","camaecipáris-do-oregon","Portuguese",
"316","cedro-branco","Portuguese",
"316","cedro-de-oregon","Portuguese",
"316","Cyprès de Lawson","French",
"316","falso-cipreste","Portuguese",
"316","Faux Cyprès","French",
"316","Jätteloka","Swedish",
"316","Kaukasianjättiputki","Finnish",
"316","Kjempebjønnkjeks","Norwegian",
"316","Kystbjønnkjeks","Norwegian",
"316","Kæmpe-Bjørneklo","Danish",
"316","Lawson's Cypress","English",
"316","Lawson-Scheinzypresse","German",
"316","Libbsticka","Swedish",
"316","Liperi","Finnish",
"316","Lostilk","Danish",
"316","Løpstikke","Norwegian",
"316","Løvstikke","Danish",
"316","oregoni hamisciprus","Hungarian",
"316","Rantaputki","Finnish",
"316","Sibirisk Björnloka","Swedish",
"316","Strandkjeks","Norwegian",
"316","Strandloka","Swedish",
"316","Ukonputki","Finnish",
"327","Alpkörvel","Swedish",
"327","Björnrot","Swedish",
"327","Cyprès de Nootka","French",
"327","Cyprès jaune","French",
"327","Nootka Cypress","English",
"327","Palsternacka","Swedish",
"327","Palsternakka","Finnish",
"327","Pastinak","Danish",
"327","Pastinakk","Norwegian",
"327","Saksankirveli","Finnish",
"327","Spansk kjørvel","Norwegian",
"327","Spansk körvel","Swedish",
"327","Sødskærm","Danish",
"331","Sawara Cypress","English",
"334","Faux Cyprès","French",
"335","criptoméria","Spanish",
"335","Japanese Red-cedar","English",
"340","Cyprès d’Arizonie","French",
"341","Cyprès","French",
"342","cedro-de-goa","Portuguese",
"342","cedro-do-buçaco","Portuguese",
"342","cipreste-do-buçaco","Portuguese",
"348","cipreste-da-california","Portuguese",
"348","cipreste-de-monterey","Portuguese",
"348","Cyprès à gros fruits","French",
"348","Cyprès de Lambert","French",
"348","Cyprès de Monterey","French",
"348","Monterey Cypress","English",
"352","Brosh matzui, tzrifi","Hebrew (western characters)",
"352","cedro-bastardo","Portuguese",
"352","Cipress kannella","Maltese",
"352","cipreste-comum","Portuguese",
"352","cipreste-de-itália","Portuguese",
"352","cipreste-dos-cemitérios","Portuguese",
"352","Cyprès d'Italie","French",
"352","Cyprès sempervirent","French",
"352","ברוש מצוי,צריפי","Hebrew (Hebrew characters)",
"364","Almindelig Pimpinelle","Danish",
"364","Bockrot","Swedish",
"364","Gjeldkarve","Norwegian",
"364","Isopukinjuuri","Finnish",
"364","kínai boróka","Hungarian",
"364","Mästerrot","Swedish",
"364","Meisterrot","Norwegian",
"364","Mesterrod","Danish",
"364","Persilja","Finnish",
"364","Persilja","Swedish",
"364","Persille","Danish",
"364","Persille","Norwegian",
"364","Pukinjuuri","Finnish",
"364","Stor bockrot","Swedish",
